symbol,decision_time,as_of_time,side,weight,max_hold_bars,metadata
ADA-PERP,2026-01-13T20:01:00+00:00,2026-01-13T20:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 93.52695052916582, ""funding_pressure_bps"": 3.7398, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
LINK-PERP,2026-01-13T20:01:00+00:00,2026-01-13T20:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 77.28544089503853, ""funding_pressure_bps"": 2.917, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ETH-PERP,2026-01-13T20:01:00+00:00,2026-01-13T20:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 116.28638867033692, ""funding_pressure_bps"": 2.6675, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
BTC-PERP,2026-01-13T20:01:00+00:00,2026-01-13T20:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 107.65601590102314, ""funding_pressure_bps"": 2.308, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
DOGE-PERP,2026-01-13T20:01:00+00:00,2026-01-13T20:00:00+00:00,short,0.2,120,"{""entry_return_extension_bps"": 147.6585571649558, ""funding_pressure_bps"": 2.0558, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
DOGE-PERP,2026-01-14T04:01:00+00:00,2026-01-14T04:00:00+00:00,short,0.2,120,"{""entry_return_extension_bps"": 134.86953575059468, ""funding_pressure_bps"": 2.8714000000000004, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ADA-PERP,2026-01-14T08:01:00+00:00,2026-01-14T08:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 42.66413842142658, ""funding_pressure_bps"": 4.5396, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ETH-PERP,2026-01-14T08:01:00+00:00,2026-01-14T08:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 19.890272995499725, ""funding_pressure_bps"": 3.3202999999999996, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
LINK-PERP,2026-01-14T08:01:00+00:00,2026-01-14T08:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 22.104962920708182, ""funding_pressure_bps"": 2.917, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
DOGE-PERP,2026-01-14T08:01:00+00:00,2026-01-14T08:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 65.78947368421018, ""funding_pressure_bps"": 2.8714000000000004, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
BTC-PERP,2026-01-14T08:01:00+00:00,2026-01-14T08:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 23.77268384858411, ""funding_pressure_bps"": 2.0307, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
LINK-PERP,2026-01-14T20:01:00+00:00,2026-01-14T20:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 42.36988913212336, ""funding_pressure_bps"": 5.0, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
DOGE-PERP,2026-01-14T20:01:00+00:00,2026-01-14T20:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 7.445512386625719, ""funding_pressure_bps"": 4.6174, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ETH-PERP,2026-01-14T20:01:00+00:00,2026-01-14T20:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 86.40810150854605, ""funding_pressure_bps"": 4.0167, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
