symbol,decision_time,as_of_time,side,weight,max_hold_bars,metadata
ETH-PERP,2025-11-04T12:01:00+00:00,2025-11-04T12:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 103.47543425028417, ""funding_pressure_bps"": 2.8708, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ADA-PERP,2025-11-04T16:01:00+00:00,2025-11-04T16:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 102.4208566107987, ""funding_pressure_bps"": 3.2374, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ETH-PERP,2025-11-05T04:01:00+00:00,2025-11-05T04:00:00+00:00,short,0.2,120,"{""entry_return_extension_bps"": 236.10876541124702, ""funding_pressure_bps"": 2.3447, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
DOGE-PERP,2025-11-05T04:01:00+00:00,2025-11-05T04:00:00+00:00,short,0.2,120,"{""entry_return_extension_bps"": 239.23743068967607, ""funding_pressure_bps"": 1.3315, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
LINK-PERP,2025-11-05T08:01:00+00:00,2025-11-05T08:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 51.264755480606716, ""funding_pressure_bps"": 4.0555, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ADA-PERP,2025-11-05T12:01:00+00:00,2025-11-05T12:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 71.56308851224091, ""funding_pressure_bps"": 4.7905, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ETH-PERP,2025-11-05T12:01:00+00:00,2025-11-05T12:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 53.12675954011192, ""funding_pressure_bps"": 2.3579, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
DOGE-PERP,2025-11-05T16:01:00+00:00,2025-11-05T16:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 108.21594824980352, ""funding_pressure_bps"": 3.3421, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
LINK-PERP,2025-11-06T04:01:00+00:00,2025-11-06T04:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 57.19606278265621, ""funding_pressure_bps"": 4.4122, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ETH-PERP,2025-11-06T04:01:00+00:00,2025-11-06T04:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 79.16272566517168, ""funding_pressure_bps"": 1.5961, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
BTC-PERP,2025-11-06T12:01:00+00:00,2025-11-06T12:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 40.274908605442135, ""funding_pressure_bps"": 2.468, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
LINK-PERP,2025-11-07T04:01:00+00:00,2025-11-07T04:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 116.4365014893054, ""funding_pressure_bps"": 3.12, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ADA-PERP,2025-11-07T04:01:00+00:00,2025-11-07T04:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 110.4041916167664, ""funding_pressure_bps"": 3.1048, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ETH-PERP,2025-11-08T04:01:00+00:00,2025-11-08T04:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 48.07944167311895, ""funding_pressure_bps"": 2.8433, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
